category,subcategory,name,part_number,5_seat_essential,5_seat_expression,5_seat_extreme,7_seat_essential,7_seat_expression,7_seat_extreme,notes
transport,towing,Adapter for women's and special bicycle rack,7711419103,compatible,compatible,compatible,compatible,compatible,compatible,
transport,roof_storage,Dacia black waffle design 400 L rigid roof box,7711574056,compatible,compatible,compatible,compatible,compatible,compatible,
transport,roof_storage,Dacia black waffle design 480 L rigid roof box,7711574057,compatible,conditional,conditional,compatible,conditional,conditional,Conditional: not compatible with whip antenna (standard) on vehicle.
transport,roof_storage,Ranger 340 L flexible roof box,7711419549,compatible,compatible,compatible,compatible,compatible,compatible,
transport,roof_storage,Anti-theft system for Express Hang On bicycle racks,7711422443,compatible,compatible,compatible,compatible,compatible,compatible,
transport,roof_storage,Thule FreeRide bicycle rack - On transverse roof bars (only on Essential version) - 1 bicycle,7711948969,compatible,incompatible,incompatible,compatible,incompatible,incompatible,
transport,roof_storage,Bicycle rack Pure Instinct for modular roof bars,7711949992,incompatible,compatible,compatible,incompatible,compatible,compatible,
transport,roof_storage,Bicycle rack adapter for Pure Instinct modular roof bars,7711949993,incompatible,compatible,compatible,incompatible,compatible,compatible,
transport,roof_storage,Roof bars - Aluminium - On fixed longitudinal bars (specific to Essential version),8201733998,compatible,incompatible,incompatible,compatible,incompatible,incompatible,
transport,roof_storage,"Transverse roof bar adapter, Essential version (8201733998) for ski racks",7711421178,compatible,incompatible,incompatible,compatible,incompatible,incompatible,
multimedia,telephone,Smartphone holder adaptation kit for vehicle without multimedia (air vent or suction cup mounting),8201742512,compatible,incompatible,incompatible,compatible,incompatible,incompatible,
multimedia,telephone,Smartphone holder on multimedia arm,283144127R,compatible,compatible,conditional,compatible,compatible,conditional,Conditional: smartphone holder is standard on Extreme versions.
multimedia,telephone,Wireless smartphone charger,8201737398,compatible,compatible,compatible,compatible,compatible,compatible,
multimedia,telephone,Magnetic dashboard-mounted smartphone holder,7711784775,compatible,compatible,compatible,compatible,compatible,compatible,
multimedia,telephone,Magnetic vent-mounted smartphone holder,7711784774,compatible,compatible,compatible,compatible,compatible,compatible,
multimedia,telephone,Wireless smartphone charger in the centre console,8201739622,compatible,compatible,compatible,compatible,compatible,compatible,
multimedia,audio,Kenwood KMM-BT506DAB car radio,7711943336,compatible,compatible,compatible,compatible,compatible,compatible,
multimedia,audio,Kenwood KDC-BT740DAB car radio,7711943104,compatible,compatible,compatible,compatible,compatible,compatible,
multimedia,audio,Car radio mount,8201734132,compatible,incompatible,incompatible,compatible,incompatible,incompatible,
multimedia,video,Built-in dashcam for windscreen without rain and light sensor,8201735449,compatible,compatible,compatible,compatible,compatible,compatible,
multimedia,video,Nextbase 222GW Dashcam with 32 GB SD card,7711945185,compatible,compatible,compatible,compatible,compatible,compatible,
multimedia,video,Nextbase 322GW Dashcam with 32 GB SD card,7711945184,compatible,compatible,compatible,compatible,compatible,compatible,
safety,anti_theft_and_surveillance,"Perimeter, volumetric and anti-lift alarm",8201736825,compatible,compatible,compatible,compatible,compatible,compatible,
safety,driving_assistance,Parking sensors - Front,8201734052,compatible,compatible,conditional,compatible,compatible,conditional,Conditional: parking sensors available as standard equipment on vehicle.
safety,driving_assistance,Parking sensors - Rear,8201734053,compatible,conditional,conditional,compatible,conditional,conditional,Conditional: parking sensors available as standard equipment on vehicle.
safety,driving_assistance,Rear-view camera,284422402R,compatible,conditional,conditional,compatible,conditional,conditional,Conditional: requires a multimedia screen; also available as a standard option on Comfort and Expression versions.
safety,emergency_and_signalling,1kg fire extinguisher - France,7711788640,compatible,compatible,compatible,compatible,compatible,compatible,
safety,emergency_and_signalling,1kg fire extinguisher - Europe,7711943172,compatible,compatible,compatible,compatible,compatible,compatible,
safety,emergency_and_signalling,Extinguisher bracket,966015136R,compatible,compatible,compatible,compatible,compatible,compatible,
safety,emergency_and_signalling,Safety kit,7711780759,compatible,compatible,compatible,compatible,compatible,compatible,
safety,child_safety,Trifix 2 i-Size group 1 child seat,7711940744,compatible,compatible,compatible,compatible,compatible,compatible,
safety,snow_chains,"16"" Standard wheel snow chains (205/60R16)",7711578470,compatible,compatible,compatible,compatible,compatible,compatible,
safety,snow_chains,"16"" Premium snow chains (205/60R16)",7711943628,compatible,compatible,compatible,compatible,compatible,compatible,
safety,snow_chains,"16"" Premium Grip snow chains (205/60R16)",7711780255,compatible,compatible,compatible,compatible,compatible,compatible,
safety,snow_chains,"16"" wheel snow socks (205/60R16)",7711578653,compatible,compatible,compatible,compatible,compatible,compatible,
pro_specials,commercial_conversion,Liner (+ load stop) for conversion into a commercial vehicle,792606154R,compatible,compatible,compatible,compatible,compatible,compatible,
pro_specials,commercial_conversion,Partition grille for conversion into a commercial vehicle,731508776R,compatible,compatible,compatible,compatible,compatible,compatible,
pro_specials,commercial_conversion,Luggage cover for conversion into a commercial vehicle,799229084R,compatible,compatible,compatible,compatible,compatible,compatible,
