batch_position,price_list_ordinal,price_list_name,shop_name,part_number,document_price_gross_pln,shop_catalog_price_gross_pln,price_match,label_exact_match,declared_compatibility,availability_status,retrieval_status,checked_on,source_url,notes
1,1,"Zestaw bezpieczeństwa (kamizelka, trójkąt, apteczka)","Zestaw bezpieczeństwa - kamizelka, trójkąt, apteczka",7711780759,87.00,87.00,true,false,NOWY SPRING,temporarily_unavailable,confirmed_dacia_pl_card,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7711780759,Shop label uses a hyphen instead of the document parenthetical form.
2,2,Gaśnica 1 kg,,7711943172,87.00,,,,,unconfirmed,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7711943172,No Polish Dacia Shop card was resolved in the bounded retrieval. Absence is not withdrawal. A Renault Shop PL card was not used to infer New Spring compatibility.
3,3,Wideo rejestrator Nextbase 222,Wideo rejestrator Nextbase 222,7711945185,940.00,940.00,true,true,NOWY SPRING,temporarily_unavailable,confirmed_dacia_pl_card,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7711945185,
4,4,Uchwyt do mocowania gaśnicy,,966115844R,157.00,,,,,unconfirmed,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/966115844R,No Polish Dacia Shop card was resolved in the bounded retrieval. Absence is not withdrawal.
5,5,"Łańcuchy śniegowe Standard 9mm, rozmiar 50","Łańcuchy śniegowe Standard 9mm, rozmiar 50",7711578466,387.10,,,true,NOWY SPRING,listed_add_to_cart_price_not_exposed,confirmed_dacia_pl_card,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7711578466,The retrieved official card exposes the product and New Spring compatibility but no catalogue price.
6,7,"Kołpak 14""","Kołpak 14""",403152884R,169.00,,,true,NOWY SPRING,listed_add_to_cart_price_not_exposed,confirmed_dacia_pl_card,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/403152884R,The retrieved official card exposes the product and New Spring compatibility but no catalogue price.
7,8,"Kołpak 15""","Kołpak 15""",403154034R,173.00,,,true,NOWY SPRING,listed_add_to_cart_price_not_exposed,confirmed_dacia_pl_card,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/403154034R,The retrieved official card exposes the product and New Spring compatibility but no catalogue price.
8,9,"Kołpak 14""",,403154280R,155.00,,,,,unconfirmed,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/403154280R,No Polish Dacia Shop card was resolved in the bounded retrieval. Absence is not withdrawal; foreign-market or third-party records are not substituted.
9,10,Śruby antykradzieżowe do felg aluminowych - 4 śruby,Śruby antykradzieżowe do felg aluminiowych - 4 śruby,8201724187,145.00,145.00,true,false,NOWY SPRING,temporarily_unavailable,confirmed_dacia_pl_card,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201724187,The shop corrects the document spelling from 'aluminowych' to 'aluminiowych'; no semantic normalization is applied.
10,12,YouClip – indukcyjna ładowarka do smartfonów,YouClip – indukcyjna ładowarka do smartfonów,283D84357R,283.00,283.00,true,true,NOWY SPRING,temporarily_unavailable,confirmed_dacia_pl_card,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/283D84357R,
11,17,Uchwyt na kubek,Uchwyt na kubek,685609899R,126.00,,,true,NOWY SPRING,listed_add_to_cart_price_not_exposed,confirmed_dacia_pl_card,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/685609899R,The retrieved official card exposes the product and New Spring compatibility but no catalogue price.
12,18,YouClip – etui na okulary,,739M00386R,149.00,,,,,unconfirmed,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/739M00386R,No Polish Dacia Shop card was resolved in the bounded retrieval. Foreign-market official cards are not transferred to the Polish market.
