batch_position,price_list_ordinal,price_list_name,shop_name,part_number,document_price_gross_pln,shop_catalog_price_gross_pln,price_match,label_exact_match,declared_compatibility,availability_status,retrieval_status,checked_on,source_url,notes
1,32,Domowe gniazdo ładowania Green’Up Typ F,,8201486884,1548.00,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201486884,No Polish Dacia Shop card was resolved in the bounded check. An official Renault Shop PL card and foreign-market Dacia records are not transferred to Polish New Spring evidence.
2,33,Uchwyt do przenoszenia kabla,,8201738553,303.00,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201738553,No Polish Dacia Shop card was resolved in the bounded check. An official Renault Shop PL card and foreign-market or third-party records are not transferred to Polish New Spring evidence.
3,34,Dywaniki tekstylne Comfort,,8201751532,168.00,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201751532,No Polish Dacia Shop card was resolved in the bounded check. Foreign-market and third-party records are not transferred to Polish New Spring evidence.
4,35,Dywaniki tekstylne Premium,,8201751534,291.00,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201751534,No Polish Dacia Shop card was resolved in the bounded check. Foreign-market and third-party records are not transferred to Polish New Spring evidence.
5,36,Dywaniki tekstylne Comfort,,8201752597,187.00,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201752597,No Polish Dacia Shop card was resolved in the bounded check. Foreign-market official Dacia and third-party records are not transferred to Polish New Spring evidence.
6,37,Dywaniki tekstylne Premium,,8201752599,264.00,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201752599,No Polish Dacia Shop card was resolved in the bounded check. Foreign-market official Dacia and third-party records are not transferred to Polish New Spring evidence.
7,38,Dywaniki gumowe,,8201756618,250.00,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201756618,No Polish Dacia Shop card was resolved in the bounded check. Foreign-market official Dacia and third-party records are not transferred to Polish New Spring evidence.
8,39,Dywaniki gumowe (tylny rząd),,8201756621,170.00,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201756621,No Polish Dacia Shop card was resolved in the bounded check. Foreign-market official Dacia and third-party records are not transferred to Polish New Spring evidence.
9,40,Pokrowiec na samochód (rozmiar XS),,7711949659,378.00,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7711949659,No Polish Dacia Shop card was resolved in the bounded check. Foreign-market official Dacia and third-party records are not transferred to Polish New Spring evidence.
10,44,Dwustronna mata bagażnika do bagażnika Spring(2),,8201742284,311.00,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201742284,No Polish Dacia Shop card was resolved in the bounded check. Foreign-market official Dacia and third-party records are not transferred to Polish New Spring evidence.
11,46,Pokrowiec na tylne siedzenia do przewozu psów,,7711945735,419.00,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7711945735,"No Polish Dacia Shop card was resolved in the bounded check. Foreign-market official Dacia, Renault and third-party records are not transferred to Polish New Spring evidence."
12,47,Lodówka przenośna,Lodówka samochodowa,7717277903,415.00,,,false,Lodgy; SANDERO Stepway; SANDERO; Logan III; SPRING; DUSTER; JOGGER; NOWY DUSTER; NOWY SPRING; BIGSTER,listed_add_to_cart,confirmed_dacia_pl_card,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7717277903,Official Polish Dacia Shop card confirms the exact part number and New Spring compatibility. The retrieved card did not expose a catalogue price.
