retry_position,price_list_ordinal,category,subcategory,price_list_name,part_number,document_price_gross_pln,previous_status,previous_checked_on,retry_status,retry_checked_on,polish_shop_card_resolved,source_url,evidence_boundary,notes
11,28,KOMFORT I OCHRONA,Akcesoria do ładowania,"Przewód ładowania akumulatora Typ 2, 6,5 m, ze wzmocnionego gniazda domowego prądu jednofazowego 16A Typ E/F, o mocy 3,7 kW",7717278287,1549.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/7717278287,exact_part_number_polish_dacia_shop_only,"A Polish Renault Shop card and foreign official Dacia records were found, but neither was substituted for an official Polish Dacia Shop card."
12,29,KOMFORT I OCHRONA,Akcesoria do ładowania,"Rękawice do ładowanie akumulatora, rozmiar S/M",7717301120,83.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/7717301120,exact_part_number_polish_dacia_shop_only,No Polish Dacia Shop card was resolved; foreign price-list and third-party records were not transferred.
13,30,KOMFORT I OCHRONA,Akcesoria do ładowania,"Rękawice do ładowanie akumulatora, rozmiar L/XL",7717301121,97.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/7717301121,exact_part_number_polish_dacia_shop_only,"A Polish Renault Shop card was found, but it was not substituted for an official Polish Dacia Shop card."
14,31,KOMFORT I OCHRONA,Akcesoria do ładowania,Domowe gniazdo ładowania Green’Up Typ E,8201486883,1509.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/8201486883,exact_part_number_polish_dacia_shop_only,"A Polish Renault Shop card and foreign official Dacia cards were found, but they were not transferred to Polish New Spring evidence."
15,32,KOMFORT I OCHRONA,Akcesoria do ładowania,Domowe gniazdo ładowania Green’Up Typ F,8201486884,1548.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/8201486884,exact_part_number_polish_dacia_shop_only,"A Polish Renault Shop card and foreign official Dacia records were found, but neither was substituted for an official Polish Dacia Shop card."
16,33,KOMFORT I OCHRONA,Akcesoria do ładowania,Uchwyt do przenoszenia kabla,8201738553,303.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/8201738553,exact_part_number_polish_dacia_shop_only,"A Polish Renault Shop card and foreign parts records were found, but they were not substituted for an official Polish Dacia Shop card."
17,34,KOMFORT I OCHRONA,Dywaniki,Dywaniki tekstylne Comfort,8201751532,168.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/8201751532,exact_part_number_polish_dacia_shop_only,Foreign official and third-party records were not transferred to Polish New Spring evidence.
18,35,KOMFORT I OCHRONA,Dywaniki,Dywaniki tekstylne Premium,8201751534,291.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/8201751534,exact_part_number_polish_dacia_shop_only,Foreign official and third-party records were not transferred to Polish New Spring evidence.
19,36,KOMFORT I OCHRONA,Dywaniki,Dywaniki tekstylne Comfort,8201752597,187.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/8201752597,exact_part_number_polish_dacia_shop_only,"Foreign official Dacia dealer and third-party records were found, but they were not transferred to Polish New Spring evidence."
20,37,KOMFORT I OCHRONA,Dywaniki,Dywaniki tekstylne Premium,8201752599,264.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/8201752599,exact_part_number_polish_dacia_shop_only,"Foreign official Dacia dealer and third-party records were found, but they were not transferred to Polish New Spring evidence."
